"search_term_used","study_id","title","description","organism","relevance_score","url"
"cardiac","GSE56874","Gene expression profile of human cardiac fibroblasts (HCFs), induced cardiomyocytes (iCMs), and heart","MiR-133 silenced fibroblast signatures in parallel with cardiac gene activation, and Snai1 overexpression inhibited the effects of miR-133-mediated cardiac reprogramming. Global gene expression profile of total 24460 probes in the iCMs. The gene expression shifts from a fibroblast state toward a cardiac-like phenotype by Gata4/Mef2c/Tbx5/Mesp1/Myocd (GMTMM) or GMTMM/miR-133 transduction at 7 days after transduction.","Homo sapiens","38","https://osdr.nasa.gov/bio/repo/data/studies/GSE56874"
"circulation","PXD003187","Human cTnT fragmentation in serum","Cardiac troponin T (cTnT) is a highly cardiospecific protein commonly used in the diagnosis of acute myocardial infarction (AMI), but is subject to proteolytic degradation upon its release in the circulation. In this study, a targeted mass spectrometry assay was developed to detect peptides which are differentially present within the different degradation products. cTnT was spiked in human serum and incubated at 37 °C to induce proteolytic degradation. Isolation and fractionation of cTnT and its...","Homo sapiens (Human)","38","https://osdr.nasa.gov/bio/repo/data/studies/PXD003187"
"microgravity human","GSE84582","Global gene expression profiles of cardiac progenitors differentiated from human pluripotent stem cells in 3D culture under simulated microgravity","Methods: RNA-seq libraries were prepared using the Illumina TruSeq RNA kit and the TrueSeq method was employed for mRNA enrichment. The libraries were quantified and samples were multiplexed in each lane of the flowcell. Cluster generation was performed and then sequenced on the Illumina HiSeq1000 system. Reads were mapped on the Human Genome Reference and normalized expression table was generated. Results: Among differentially expressed genes, 53 of them were up-regulated and 75 were down-regul...","Homo sapiens","38","https://osdr.nasa.gov/bio/repo/data/studies/GSE84582"
"blood pressure","GSE8585","Hypertensive Study","Animals. Male Sprague–Dawley rats (Charles River Laboratories, Wilmington, MA) weighing about 250g were used. The study was approved by the Thomas Jefferson University Institutional Animal Care and Use Committee and was conducted in accordance with the National Institutes of Health Guide for the Care and Use of Laboratory Animals. The animals were housed in Thomas Jefferson University's animal care facilities. Animals were anesthetized with isoflurane dissolved in O2 (5% induction; 1% maintenanc...","Rattus norvegicus","37","https://osdr.nasa.gov/bio/repo/data/studies/GSE8585"
"circulation","GSE76398","The epigenetic signature of systemic insulin resistance in obese women [SC]","Impaired ability of insulin to stimulate cellular glucose uptake and regulate metabolism, that is insulin resistance (IR), links adiposity to metabolic disorders such as type 2 diabetes (T2D), dyslipidemia and cardiovascular disease (Langenberg, 2012). Both genetic and epigenetic factors are implicated in development of systemic IR (Vaag, 2001). IR is characterized by elevated levels of fasting insulin in the general circulation. The aim of this study is to explore whether white adipose tissue (...","Homo sapiens","37","https://osdr.nasa.gov/bio/repo/data/studies/GSE76398"
"circulation","GSE76285","The epigenetic signature of systemic insulin resistance in obese women [BL]","Impaired ability of insulin to stimulate cellular glucose uptake and regulate metabolism, that is insulin resistance (IR), links adiposity to metabolic disorders such as type 2 diabetes (T2D), dyslipidemia and cardiovascular disease (Langenberg, 2012). Both genetic and epigenetic factors are implicated in development of systemic IR (Vaag, 2001). IR is characterized by elevated levels of fasting insulin in the general circulation. The aim of this study is to explore whether white adipose tissue (...","Homo sapiens","37","https://osdr.nasa.gov/bio/repo/data/studies/GSE76285"
"circulation","GSE76394","The epigenetic signature of systemic insulin resistance in obese women [OM]","Impaired ability of insulin to stimulate cellular glucose uptake and regulate metabolism, that is insulin resistance (IR), links adiposity to metabolic disorders such as type 2 diabetes (T2D), dyslipidemia and cardiovascular disease (Langenberg, 2012). Both genetic and epigenetic factors are implicated in development of systemic IR (Vaag, 2001). IR is characterized by elevated levels of fasting insulin in the general circulation. The aim of this study is to explore whether white adipose tissue (...","Homo sapiens","37","https://osdr.nasa.gov/bio/repo/data/studies/GSE76394"
"space medicine","OSD-342","Targeting myostatin/activin A protects against skeletal muscle and bone loss during spaceflight [plasma proteomics]","Among the physiological consequences of extended spaceflight are loss of skeletal muscle and bone mass. One signaling pathway that plays an important role in maintaining muscle and bone homeostasis is that regulated by the secreted signaling proteins, myostatin (MSTN) and activin A. Here, we used both genetic and pharmacological approaches to investigate the effect of targeting MSTN/activin A signaling in mice that were sent to the International Space Station. Wild type mice lost significant mus...","M, u, s,  , m, u, s, c, u, l, u, s","37","https://osdr.nasa.gov/bio/repo/data/studies/OSD-342"
"cardiovascular","GSE56327","A PBMC Transcriptional Module Related to Vascular Function","Peripheral blood mononuclear cells (PBMCs), including rare circulating stem and progenitor cells (CSPCs), have important yet poorly understood roles in the maintenance and repair of blood vessels and perfused organs. Our hypothesis was that the identities and functions of CSPCs in cardiovascular health could be ascertained by analyzing the patterns of their co-expressed markers in unselected PBMC samples. Because gene microarrays had failed to detect many stem cell-associated genes, we performed...","Homo sapiens","36","https://osdr.nasa.gov/bio/repo/data/studies/GSE56327"
"cardiovascular","GSE104150","Association of miR-197-5p, a circulating biomarker for heart failure, with myocardial fibrosis and adverse cardiovascular events among patients with stage C or D heart failure","The aim of this study was to identify end-stage heart failure (HF)-specific circulating micro-RNAs (miRNA), and examine whether the selected miRNAs are correlated with myocardial fibrosis (MF) and are reflective of the incidence of adverse cardiovascular events in patients with stage C or D HF.","Homo sapiens","36","https://osdr.nasa.gov/bio/repo/data/studies/GSE104150"
"blood pressure","PXD002214","Quantitative Proteome Analysis Reveals Increased Content of Basement Membrane Proteins in Arteries from Patients with Type 2 Diabetes and Lower Levels among Metformin Users","We analyzed non-atherosclerotic repair arteries gathered at coronary by-pass operations from 30 patients with type 2 diabetes, as well as from 30 age- and gender-matched non-diabetic individuals. Quantitative proteome analysis was done by iTRAQ-labelling and LC-MS/MS analysis on individual arterial samples. The amounts of the basement membrane (BM) components, alpha-1- and alpha-2- type IV collagen, gamma-1- and beta-2-laminin were significantly increased in patients with diabetes. Moreover, the...","Homo sapiens (Human)","36","https://osdr.nasa.gov/bio/repo/data/studies/PXD002214"
"human spaceflight","PXD014191","Proteome profiling of the exhaled breath condensate after long-term spaceflights","Abstract: The aim of the study was to analyze exhaled breath condensate (EBC) proteome changes due to the effects of spaceflight factors. All the protocols were approved at the Institute of Biomedical Problems – Russian Federation State Scientific Research Center in the frame of «Protocon» experiment. EBC samples were collected by commercial devices RTube one month before flight (background) at the Yu. A. Gagarin Research and Test Cosmonaut Training Center, immediately after landing of the landi...","Homo sapiens (Human)","36","https://osdr.nasa.gov/bio/repo/data/studies/PXD014191"
"human spaceflight","OSD-680","Head-Down Tilt As a Model for Intracranial and Intraocular Pressures, and Retinal Changes during Spaceflight (Optic Nerve, MRI)","This ground-based program was intended to address the etiology of visual system structural and functional changes observed in astronauts during both inflight and postflight periods. Using the well-documented rat hindlimb suspension (HLS) model, functionally equivalent to human head-down bedrest, we examined the relationship between cephalic fluid shifts resulting from long-duration G-unloading and the regulation of intracranial and intraocular pressures, as well as the effects these same cephali...","R, a, t, t, u, s,  , n, o, r, v, e, g, i, c, u, s","36","https://osdr.nasa.gov/bio/repo/data/studies/OSD-680"
